keyword_score,tfidf_score,semantic_score,human_score
0.9053,0.8461,0.0923,0.5271
0.4236,0.2767,0.0035,0.1944
0.7711,0.6371,0.262,0.494
0.7412,0.5517,0.4277,0.6219
0.0097,0.0752,0.8831,0.3396
0.9039,0.5456,0.8346,0.8064
0.5825,0.1481,0.1274,0.2869
0.3083,0.899,0.7961,0.5749
0.8607,0.8989,0.2101,0.5602
0.2495,0.1028,0.7801,0.4039
0.8841,0.4064,0.6207,0.7259
0.1546,0.9299,0.8646,0.5039
0.9762,0.8108,0.8814,0.9156
0.0248,0.7366,0.3322,0.1573
0.9308,0.8022,0.8641,0.9063
0.8107,0.2668,0.7874,0.736
0.1081,0.8722,0.8586,0.4759
0.2224,0.8166,0.4603,0.3948
0.3052,0.7953,0.2276,0.2587
0.0237,0.1931,0.3283,0.0922
0.8644,0.9669,0.2791,0.6097
0.6415,0.3997,0.9811,0.716
0.5362,0.9392,0.1153,0.3749
0.9704,0.1786,0.9625,0.8832
0.2655,0.1084,0.4346,0.2872
0.7285,0.3137,0.6062,0.634
0.5114,0.3852,0.5766,0.5169
0.2547,0.7088,0.0017,0.1654
0.9256,0.5385,0.7194,0.7966
0.742,0.6706,0.3642,0.4991
0.07,0.6642,0.3302,0.1632
0.3139,0.848,0.7198,0.5169
0.3003,0.3093,0.4084,0.3566
0.4024,0.2957,0.1273,0.2253
0.4204,0.9404,0.6773,0.6016
0.9028,0.6155,0.3009,0.5613
0.5479,0.0004,0.2869,0.2767
0.4299,0.58,0.6547,0.5462
0.465,0.4422,0.2137,0.3115
0.4732,0.9012,0.796,0.6338
0.1697,0.0848,0.5155,0.2774
0.6329,0.3352,0.8184,0.6359
0.7511,0.6728,0.2246,0.4855
0.1991,0.0244,0.2448,0.1195
0.4751,0.8497,0.0728,0.2956
0.4144,0.6298,0.1944,0.2887
0.6964,0.4944,0.244,0.4298
0.6561,0.0055,0.751,0.5823
0.77,0.1066,0.4251,0.5647
0.1759,0.958,0.518,0.4099
0.0502,0.2492,0.8483,0.3479
0.4565,0.8014,0.6676,0.5837
0.9879,0.5955,0.95,0.955
0.8914,0.6127,0.7193,0.7774
0.5048,0.8306,0.5479,0.5612
0.8972,0.7437,0.4747,0.7461
0.2592,0.2472,0.6377,0.3959
0.7658,0.5213,0.6267,0.678
0.2746,0.0775,0.2857,0.1696
0.2717,0.3197,0.5402,0.3577
0.1384,0.2313,0.6939,0.3357
0.7064,0.0642,0.4076,0.499
0.5426,0.4158,0.2068,0.3296
0.4201,0.9048,0.5841,0.5394
0.6955,0.8567,0.7656,0.733
0.3804,0.0059,0.3518,0.2171
0.7535,0.8534,0.9534,0.8437
0.419,0.7475,0.5461,0.5019
0.6033,0.2205,0.2194,0.3477
0.4358,0.029,0.3361,0.2743
0.6791,0.4043,0.165,0.3608
0.4674,0.1276,0.6223,0.4602
0.027,0.394,0.5644,0.2769
0.0271,0.6427,0.1357,0.066
0.4617,0.0503,0.3791,0.2764
0.2117,0.3268,0.7612,0.4387
0.3791,0.752,0.8319,0.5964
0.2523,0.0819,0.0194,0.0641
0.5394,0.9999,0.35,0.4736
0.6501,0.7812,0.6518,0.6827
0.7542,0.9496,0.1994,0.4969
0.0204,0.1524,0.1262,0.0
0.6695,0.564,0.218,0.4129
0.6995,0.7669,0.1678,0.4405
0.6072,0.7479,0.1145,0.3745
0.8193,0.9647,0.1081,0.5214
0.0257,0.312,0.6773,0.3036
0.9582,0.3967,0.715,0.8082
0.076,0.6906,0.6272,0.345
0.1019,0.7725,0.8503,0.4605
0.6004,0.1211,0.9838,0.6563
0.7826,0.3472,0.4284,0.6078
0.3706,0.506,0.3412,0.2906
0.8496,0.8223,0.1055,0.4927
0.9608,0.6356,0.8287,0.8637
0.7073,0.4355,0.7338,0.6727
0.9655,0.2701,0.8082,0.7973
0.5382,0.4835,0.4356,0.4841
0.731,0.2684,0.8517,0.7208
0.8307,0.0867,0.8816,0.7346
0.2439,0.4647,0.6103,0.4197
0.379,0.0287,0.851,0.4937
0.1818,0.2121,0.7978,0.384
0.3403,0.8803,0.7012,0.5676
0.2763,0.0102,0.9481,0.485
0.0856,0.7201,0.4886,0.3406
0.7582,0.6906,0.6459,0.7258
0.4908,0.7929,0.0931,0.3309
0.2216,0.6918,0.3062,0.2284
0.5816,0.4733,0.5309,0.547
0.4255,0.7459,0.3308,0.349
0.7029,0.2709,0.2514,0.3961
0.1207,0.1926,0.1196,0.0334
0.5359,0.7622,0.1851,0.3622
0.2164,0.4842,0.7246,0.4539
0.9766,0.5246,0.283,0.5766
0.1005,0.1941,0.2275,0.0904
0.1794,0.0141,0.5341,0.277
0.2743,0.9743,0.5534,0.4739
0.6974,0.1263,0.8685,0.6899
0.4909,0.8727,0.5741,0.5971
0.4694,0.4405,0.1844,0.2875
0.0514,0.9411,0.4777,0.3428
0.8221,0.4007,0.0741,0.4033
0.6294,0.0536,0.1492,0.2868
0.5628,0.3038,0.9939,0.6936
0.1185,0.7644,0.6063,0.3893
0.7907,0.2257,0.5226,0.6138
0.4505,0.4427,0.8602,0.6026
0.99,0.3054,0.621,0.7404
0.6096,0.7401,0.9476,0.7508
0.2078,0.211,0.6604,0.3668
0.1571,0.1738,0.0751,0.065
0.0027,0.4505,0.5938,0.2631
0.2913,0.2315,0.707,0.4463
0.703,0.454,0.6874,0.6434
0.9239,0.7878,0.6251,0.7863
0.6612,0.9337,0.4251,0.6232
0.5446,0.6476,0.9084,0.6944
0.8266,0.0714,0.1659,0.3915
0.3076,0.749,0.5692,0.4502
0.2886,0.1244,0.6887,0.4196
0.6997,0.9427,0.5005,0.6563
0.4938,0.0804,0.0399,0.1967
0.432,0.3223,0.2504,0.2768
0.0913,0.9619,0.836,0.4793
0.5752,0.9508,0.9996,0.7834
0.6723,0.2695,0.0402,0.3116
0.7563,0.4705,0.6515,0.6941
0.9161,0.1815,0.5853,0.6783
0.6348,0.4917,0.0912,0.3517
0.348,0.3333,0.6701,0.4481
0.8577,0.3298,0.6937,0.7169
0.2882,0.9452,0.8136,0.5775
0.5501,0.4548,0.3145,0.3653
0.3233,0.9702,0.4042,0.4413
0.5146,0.9881,0.6577,0.6458
0.5426,0.4132,0.1876,0.3018
0.3618,0.7564,0.6254,0.5116
0.76,0.2036,0.5492,0.6227
0.9277,0.4381,0.6983,0.7938
0.1214,0.9731,0.6089,0.4027
0.2393,0.1584,0.5508,0.3247
0.5523,0.0932,0.9923,0.628
0.9129,0.4614,0.1175,0.5041
0.8321,0.4984,0.7166,0.7569
0.5089,0.2734,0.8347,0.6028
0.9802,0.2437,0.5513,0.7144
0.3836,0.9219,0.5082,0.4943
0.8793,0.864,0.2762,0.5993
0.79,0.4149,0.9342,0.7923
0.5077,0.8205,0.2828,0.4004
0.2986,0.5869,0.9989,0.6064
0.4896,0.1486,0.5386,0.4618
0.3451,0.5519,0.5434,0.4258
0.4553,0.3218,0.1887,0.2746
0.6975,0.5718,0.2336,0.4283
0.7755,0.0436,0.7447,0.6615
0.7052,0.8114,0.3861,0.547
0.6637,0.8207,0.9808,0.7836
0.4953,0.037,0.5023,0.4136
0.5902,0.8697,0.8742,0.7158
0.4403,0.526,0.4569,0.4611
0.7224,0.41,0.6548,0.6428
0.1544,0.4695,0.9692,0.491
0.3386,0.6927,0.6498,0.5093
0.8518,0.8523,0.8593,0.8426
0.38,0.3167,0.7187,0.4944
0.7594,0.8724,0.0359,0.4337
0.0684,0.6312,0.9209,0.4507
0.9974,0.7468,0.434,0.7788
0.0984,0.6337,0.8726,0.4635
0.4437,0.694,0.9034,0.6258
0.046,0.7961,0.2934,0.162
0.3748,0.1456,0.5312,0.3862
0.5659,0.7925,0.17,0.3615
0.079,0.8708,0.6197,0.3979
0.2408,0.9128,0.1431,0.2329
0.4611,0.254,0.2553,0.2685
0.0094,0.8046,0.9012,0.4505
0.6776,0.158,0.4417,0.5192
0.3456,0.5876,0.6389,0.4817
0.4243,0.2501,0.8453,0.5259
0.1992,0.3847,0.4832,0.3094
0.2372,0.5719,0.5748,0.4209
0.9927,0.2952,0.9779,0.9291
0.6582,0.2745,0.5659,0.5702
0.6858,0.7447,0.049,0.4051
0.6064,0.4967,0.9042,0.6975
0.2862,0.7989,0.6071,0.4613
0.3523,0.6366,0.6209,0.4741
0.6778,0.7209,0.6592,0.6701
0.8383,0.6282,0.9034,0.8455
0.6463,0.3089,0.4408,0.5356
0.5796,0.7324,0.0901,0.3656
0.2951,0.7475,0.1756,0.2571
0.1322,0.5394,0.9715,0.4754
0.5309,0.9135,0.8305,0.6831
0.257,0.8247,0.4818,0.4049
0.8065,0.7466,0.3387,0.565
0.1152,0.9629,0.1408,0.1867
0.9665,0.8601,0.7242,0.862
0.9799,0.9673,0.8046,0.9215
0.3658,0.7907,0.0139,0.2126
0.5366,0.4548,0.6728,0.5892
0.6723,0.5846,0.8224,0.7263
0.9403,0.1083,0.2338,0.5073
0.025,0.8842,0.5614,0.3541
0.9153,0.2214,0.0632,0.4482
0.8239,0.9094,0.3022,0.5551
0.4083,0.1398,0.9463,0.5658
0.3044,0.4926,0.0972,0.1734
0.8873,0.1357,0.4536,0.64
0.6705,0.7431,0.946,0.7899
0.4191,0.7423,0.1545,0.3095
0.4149,0.099,0.4893,0.406
0.4081,0.9515,0.0327,0.2689
0.3705,0.4434,0.9506,0.596
0.8555,0.0994,0.6857,0.667
0.5445,0.9778,0.3587,0.4794
0.3981,0.1898,0.1222,0.2046
0.848,0.4547,0.6628,0.7131
0.6417,0.5971,0.0214,0.3506
0.7868,0.2436,0.1259,0.3924
0.5646,0.0686,0.7652,0.5526
0.2072,0.216,0.8697,0.4522
0.3286,0.1476,0.9005,0.4907
0.0028,0.8584,0.1447,0.0818
0.13,0.2507,0.1745,0.0714
0.6611,0.0258,0.0149,0.2528
0.79,0.2379,0.3238,0.4786
0.1742,0.0524,0.7417,0.3732
0.5261,0.7457,0.4762,0.5327
0.778,0.5132,0.1091,0.4298
0.5038,0.9454,0.0434,0.3249
0.7832,0.867,0.5215,0.7234
0.458,0.964,0.0608,0.3163
0.479,0.4016,0.6861,0.5574
0.4903,0.9097,0.0735,0.3119
0.0808,0.6083,0.0657,0.0935
0.275,0.6331,0.5484,0.4115
0.3252,0.9946,0.5306,0.516
0.4537,0.6054,0.0992,0.263
0.7018,0.8528,0.6509,0.691
0.769,0.7208,0.215,0.4853
0.4516,0.2285,0.3389,0.3078
0.4535,0.416,0.0951,0.235
0.4268,0.6651,0.3743,0.3684
0.1526,0.923,0.0671,0.1587
0.8318,0.0932,0.0966,0.3791
0.7388,0.8118,0.5564,0.689
0.5865,0.5616,0.3296,0.403
0.1222,0.3536,0.6653,0.3553
0.7503,0.8681,0.7211,0.7378
0.9684,0.6004,0.3516,0.6343
0.5779,0.2127,0.6567,0.5522
0.2242,0.1082,0.8454,0.433
0.3676,0.7626,0.5741,0.5088
0.8072,0.8452,0.9745,0.8783
0.8184,0.6136,0.6427,0.7208
0.0263,0.9291,0.8295,0.4256
0.2674,0.1804,0.7027,0.4133
0.309,0.3398,0.0061,0.1208
0.8699,0.5663,0.4008,0.6527
0.1419,0.6332,0.0307,0.1106
0.7461,0.2151,0.4198,0.561
0.3409,0.3701,0.7216,0.4705
0.7768,0.5676,0.085,0.4157
0.0526,0.1574,0.6178,0.2625
0.674,0.2721,0.6619,0.6056
0.4857,0.442,0.2732,0.3166
0.7549,0.1138,0.4299,0.5301
0.2832,0.6785,0.4866,0.4105
0.6671,0.0454,0.3953,0.4163
0.5993,0.0077,0.3014,0.3334
0.2112,0.1372,0.2555,0.1517
0.3281,0.0077,0.747,0.4313
0.1757,0.3802,0.7037,0.3832
0.5003,0.8334,0.8062,0.6592
0.0721,0.8618,0.0423,0.0801
0.0187,0.9212,0.8621,0.4407
0.5758,0.5734,0.7095,0.6194
0.4177,0.1152,0.0209,0.1566
0.3248,0.8013,0.6181,0.5051
0.832,0.9198,0.0881,0.5034
0.8445,0.2433,0.5889,0.6625
0.524,0.3958,0.3103,0.3385
0.3395,0.3331,0.1681,0.1975
0.5105,0.114,0.51,0.4669
0.9059,0.3494,0.7274,0.7718
0.8189,0.815,0.2363,0.5212
0.1464,0.1973,0.6024,0.297
0.7602,0.6555,0.1771,0.461
0.7728,0.4941,0.7544,0.7299
0.7599,0.4489,0.9242,0.7642
0.5645,0.6353,0.6245,0.6089
0.8642,0.6272,0.151,0.5091
0.0683,0.4422,0.3028,0.1334
0.2747,0.0562,0.5073,0.3123
0.3104,0.4519,0.0569,0.1509
0.8317,0.0767,0.8643,0.7108
0.8553,0.615,0.5071,0.6872
0.4627,0.5543,0.7918,0.5906
0.8959,0.4497,0.8098,0.8128
0.6518,0.3215,0.4756,0.5235
0.1509,0.0619,0.1035,0.0375
0.8991,0.3434,0.7143,0.7563
0.5045,0.1726,0.2477,0.2726
0.4378,0.4394,0.5227,0.4756
0.1587,0.3729,0.2829,0.1541
0.4088,0.3384,0.5979,0.4542
0.7892,0.6473,0.0659,0.441
0.0945,0.6784,0.2841,0.1487
0.7237,0.6566,0.9063,0.7876
0.8733,0.3334,0.5827,0.7014
0.1414,0.3498,0.9677,0.4461
0.6985,0.392,0.595,0.6133
0.938,0.3096,0.3767,0.5543
0.7917,0.8132,0.6701,0.7707
0.829,0.7388,0.6854,0.7659
0.5264,0.646,0.4234,0.4903
0.3618,0.3626,0.1803,0.2084
0.2142,0.9477,0.4863,0.4334
0.2265,0.1376,0.0772,0.0792
0.8444,0.1011,0.7709,0.7192
0.8351,0.8837,0.0377,0.49
0.3368,0.7663,0.131,0.2687
0.3767,0.1622,0.8313,0.5075
0.7711,0.809,0.1655,0.5028
0.4377,0.4109,0.6764,0.5329
0.2375,0.4442,0.2849,0.2096
0.7485,0.4489,0.534,0.6373
0.3095,0.8086,0.469,0.4404
0.8351,0.3678,0.9471,0.8174
0.9844,0.4617,0.2818,0.582
0.3819,0.5275,0.9663,0.6242
0.8169,0.8013,0.1384,0.5068
0.25,0.6412,0.8741,0.5261
0.5545,0.1026,0.8459,0.5791
0.8512,0.2851,0.7631,0.7253
0.2728,0.9053,0.1473,0.2493
0.4375,0.9464,0.222,0.369
0.4511,0.3496,0.0267,0.2082
0.0533,0.502,0.2358,0.1095
0.9945,0.3749,0.0282,0.4743
0.9308,0.8392,0.65,0.8019
0.7914,0.1376,0.2869,0.4282
0.8298,0.6961,0.1388,0.4788
0.7055,0.4486,0.0053,0.3347
0.0792,0.2559,0.835,0.3718
0.5488,0.7272,0.5278,0.5537
0.1112,0.2881,0.3012,0.1135
0.0477,0.4198,0.7939,0.3724
0.4571,0.1109,0.9051,0.5702
0.5967,0.0164,0.5154,0.4638
0.2419,0.1436,0.4292,0.289
0.6148,0.2406,0.4166,0.491
0.6644,0.0856,0.9747,0.6828
0.0677,0.5261,0.5073,0.2786
0.9883,0.5542,0.3905,0.6308
0.4701,0.6357,0.981,0.6899
0.2537,0.0162,0.7885,0.4086
0.3448,0.7329,0.6283,0.5101
0.7715,0.7352,0.3325,0.5467
0.0443,0.546,0.8135,0.3994
0.1751,0.7791,0.4646,0.3622
0.6954,0.6317,0.8115,0.7067
0.0631,0.7762,0.4577,0.3022
0.2934,0.0438,0.1995,0.1532
0.0419,0.9334,0.5154,0.3555
0.9891,0.543,0.2533,0.6028
0.7533,0.1911,0.357,0.447
0.7808,0.8658,0.3319,0.5663
0.1245,0.368,0.8895,0.4306
0.7433,0.8946,0.3866,0.5653
0.9737,0.4962,0.4975,0.7242
0.9243,0.5193,0.8011,0.8092
0.7271,0.0789,0.6025,0.5837
0.8223,0.5455,0.3212,0.5066
0.0801,0.6609,0.3065,0.1599
0.6026,0.4261,0.6898,0.6138
0.3515,0.0424,0.87,0.4828
0.3526,0.9982,0.2746,0.3287
0.98,0.9479,0.075,0.5771
0.6375,0.3633,0.8011,0.6387
